User_ID,Movie_ID,Movie,Genre,Release_Year,User_Rating,Search_History_Count,Watchlist_Status,User_Engagement_Minutes,Sentiment_Score
USR_3233,MOV_5152,Garudan,Drama,2024,4,7,1,91,0.37
USR_3674,MOV_5201,Don,Comedy,2022,2.5,1,0,10,-0.25
USR_3889,MOV_5124,2,Sci-Fi,2018,5,22,1,135,0.99
USR_3371,MOV_5197,Vikram Vedha,Thriller,2017,4.5,14,0,146,0.97
USR_3022,MOV_5082,Vikram Vedha,Thriller,2017,4.5,15,1,161,0.84
USR_3861,MOV_5115,Mari Selvaraj Next,Drama,2026,5,15,0,178,0.87
USR_4175,MOV_5221,Hey Sinamika,Romance,2022,2.5,4,0,20,-0.14
USR_3997,MOV_5059,Vikram,Action,2022,5,16,1,147,0.98
USR_3426,MOV_5084,Don,Comedy,2022,5,13,1,187,0.87
USR_3324,MOV_5147,Ayalaan,Sci-Fi,2024,4,7,0,116,0.37
USR_3601,MOV_5256,Garudan,Drama,2024,4,5,1,124,0.65
USR_3166,MOV_5212,Chitha,Thriller,2023,5,22,1,165,0.96
USR_3650,MOV_5093,Theri,Action,2016,4,8,0,115,0.49
USR_3033,MOV_5279,Doctor,Comedy,2021,5,18,1,143,0.95
USR_3205,MOV_5040,Comali,Comedy,2019,2,0,0,8,-0.16
USR_3107,MOV_5019,Fun Unlimited,Comedy,2026,1.5,0,0,41,-0.15
USR_4080,MOV_5243,Star,Romance,2024,4.5,22,1,172,0.87
USR_3595,MOV_5215,The investigative report,Thriller,2026,5,12,1,170,0.97
USR_3814,MOV_5146,Visaranai,Thriller,2015,3.5,11,1,111,0.41
USR_3048,MOV_5006,Rajinimurugan,Comedy,2016,3.5,10,1,99,0.52
USR_3836,MOV_5214,Peranbu,Drama,2018,4,5,0,109,0.24
USR_3270,MOV_5267,Time Loop 2,Sci-Fi,2026,3.5,11,0,101,0.39
USR_3358,MOV_5011,Fun Unlimited,Comedy,2026,5,22,0,150,0.89
USR_3544,MOV_5273,Dhuruvangal Pathinaaru,Thriller,2016,4,8,1,121,0.51
USR_4068,MOV_5189,Thani Oruvan,Action,2015,1.5,2,0,59,-0.46
USR_3052,MOV_5241,Ayalaan,Sci-Fi,2024,4,10,1,70,0.32
USR_3097,MOV_5252,2,Sci-Fi,2018,4.5,24,1,145,0.76
USR_3416,MOV_5002,Hey Sinamika,Romance,2022,2.5,4,1,30,-0.44
USR_3686,MOV_5026,Classic Love Story,Romance,2026,5,23,1,197,0.87
USR_3665,MOV_5137,Star,Romance,2024,4.5,12,1,137,0.87
USR_3438,MOV_5049,Asuran,Action,2019,2.5,0,0,38,-0.27
USR_3131,MOV_5010,Tik Tik Tik,Sci-Fi,2018,4,9,1,118,0.41
USR_3427,MOV_5007,Viduthalai Part 1,Thriller,2023,3,1,0,8,-0.47
USR_3629,MOV_5111,Soorarai Pottru,Drama,2020,4,9,1,68,0.38
USR_3846,MOV_5050,Indru Netru Naalai,Sci-Fi,2015,4,11,1,102,0.26
USR_3470,MOV_5174,Time Loop 2,Sci-Fi,2026,2,4,0,43,0.19
USR_3631,MOV_5256,Garudan,Drama,2024,3.5,9,1,74,0.55
USR_3294,MOV_5230,Vada Chennai,Action,2018,5,17,1,133,0.85
USR_3775,MOV_5010,Tik Tik Tik,Sci-Fi,2018,4,7,0,88,0.44
USR_3119,MOV_5036,Tik Tik Tik,Sci-Fi,2018,3.5,10,1,117,0.68
USR_3451,MOV_5027,Viduthalai Part 1,Thriller,2023,4.5,18,1,147,0.99
USR_3674,MOV_5274,Asuran,Action,2019,2.5,4,0,37,-0.47
USR_3020,MOV_5087,Thug Life,Action,2025,4,6,1,68,0.48
USR_4189,MOV_5160,Garudan,Drama,2024,5,14,1,182,0.72
USR_3449,MOV_5038,O Kadhal Kanmani,Romance,2015,3.5,10,0,129,0.64
USR_3455,MOV_5051,Tik Tik Tik,Sci-Fi,2018,5,18,1,167,0.77
USR_3263,MOV_5237,Hit List,Thriller,2024,4,7,1,124,0.59
USR_3907,MOV_5170,Garudan,Drama,2024,2.5,3,0,62,0.06
USR_3918,MOV_5261,Love Today,Comedy,2022,5,16,1,180,0.98
USR_3582,MOV_5047,Meiyazhagan,Drama,2024,4,8,0,120,0.68
USR_3526,MOV_5075,Doctor,Comedy,2021,5,20,1,182,0.91
USR_3835,MOV_5236,Thug Life,Action,2025,5,16,1,191,0.9
USR_3230,MOV_5136,Project AI,Sci-Fi,2025,5,15,1,168,0.93
USR_3176,MOV_5117,Amaran,Action,2024,4,6,0,117,0.4
USR_3468,MOV_5053,Good Bad Ugly,Action,2025,4,6,0,86,0.56
USR_3147,MOV_5042,Time Loop 2,Sci-Fi,2026,4,7,1,80,0.41
USR_3186,MOV_5012,Vedalam,Action,2015,2,3,0,64,0.01
USR_3805,MOV_5099,Ayalaan,Sci-Fi,2024,3,4,0,45,0.14
USR_3200,MOV_5116,Ayalaan,Sci-Fi,2024,5,22,1,180,0.8
USR_4087,MOV_5086,Project AI,Sci-Fi,2025,4,10,0,106,0.44
USR_3593,MOV_5076,Viduthalai Part 1,Thriller,2023,4,7,0,81,0.32
USR_3828,MOV_5207,Meiyazhagan,Drama,2024,5,12,1,157,0.73
USR_3918,MOV_5014,Viduthalai Part 2,Thriller,2025,5,19,1,197,0.76
USR_4087,MOV_5001,Fun Unlimited,Comedy,2026,5,18,1,144,0.73
USR_3291,MOV_5126,Visaranai,Thriller,2015,3.5,11,1,76,0.63
USR_3854,MOV_5073,Thug Life,Action,2025,5,23,1,148,0.83
USR_3553,MOV_5204,Lubber Pandhu,Drama,2024,2.5,1,0,50,-0.34
USR_3449,MOV_5067,Indru Netru Naalai,Sci-Fi,2015,1,1,0,50,-0.13
USR_3062,MOV_5279,Doctor,Comedy,2021,5,19,1,154,0.92
USR_3250,MOV_5254,Indru Netru Naalai,Sci-Fi,2015,4,10,1,84,0.64
USR_3929,MOV_5074,Conjuring Kannappan,Comedy,2023,4,7,0,68,0.36
USR_3332,MOV_5243,Star,Romance,2024,5,17,1,154,0.84
USR_3557,MOV_5275,Love Today,Comedy,2022,2,2,0,23,0.07
USR_3238,MOV_5077,Por Thozhil,Thriller,2023,2,1,0,61,-0.24
USR_4025,MOV_5257,Joe,Romance,2023,2.5,2,0,8,-0.16
USR_3461,MOV_5181,Indru Netru Naalai,Sci-Fi,2015,4.5,24,1,168,0.75
USR_4143,MOV_5213,Ayalaan,Sci-Fi,2024,3,3,0,16,0.17
USR_3304,MOV_5009,96,Romance,2018,2.5,3,0,11,-0.04
USR_3288,MOV_5043,Thani Oruvan,Action,2015,4,6,1,101,0.33
USR_4055,MOV_5162,Kanguva 2,Action,2026,3.5,7,1,72,0.62
USR_4116,MOV_5246,Love Insurance Kompany,Romance,2025,1,2,0,19,0.03
USR_4035,MOV_5072,Comali,Comedy,2019,3.5,5,1,94,0.69
USR_3034,MOV_5080,Thug Life,Action,2025,3,2,0,45,-0.18
USR_3387,MOV_5030,Indru Netru Naalai,Sci-Fi,2015,5,15,1,143,0.98
USR_4120,MOV_5034,Indru Netru Naalai,Sci-Fi,2015,5,18,1,158,0.81
USR_4177,MOV_5163,Naanum Rowdy Dhaan,Comedy,2015,4,10,0,90,0.69
USR_4031,MOV_5006,Rajinimurugan,Comedy,2016,3.5,7,1,79,0.27
USR_3408,MOV_5003,Jai Bhim,Drama,2021,3.5,9,0,79,0.33
USR_4103,MOV_5205,Conjuring Kannappan,Comedy,2023,4,10,0,71,0.21
USR_3765,MOV_5237,Hit List,Thriller,2024,4,7,1,70,0.43
USR_3902,MOV_5280,Vettaiyan,Thriller,2024,1,4,1,20,0.1
USR_3357,MOV_5197,Vikram Vedha,Thriller,2017,3.5,11,0,80,0.36
USR_3058,MOV_5193,Kaaka Muttai,Drama,2015,5,14,1,193,0.96
USR_3380,MOV_5115,Mari Selvaraj Next,Drama,2026,2.5,3,0,5,-0.42
USR_3020,MOV_5087,Thug Life,Action,2025,5,19,1,176,0.99
USR_3286,MOV_5056,Fun Unlimited,Comedy,2026,5,24,1,134,0.94
USR_3181,MOV_5222,Vikram Vedha,Thriller,2017,4,10,0,114,0.5
USR_3208,MOV_5125,Hit List,Thriller,2024,1.5,2,0,63,0.01
USR_3611,MOV_5073,Thug Life,Action,2025,3.5,8,0,78,0.51
USR_4108,MOV_5096,Dhruva Natchathiram,Thriller,2025,2,1,0,28,-0.28
USR_3908,MOV_5128,Vetri Maaran Next,Action,2026,2.5,3,1,5,-0.06
USR_4049,MOV_5085,Good Night,Comedy,2023,2.5,3,0,19,-0.12
USR_3658,MOV_5072,Comali,Comedy,2019,4,8,0,86,0.6
USR_3744,MOV_5250,Visaranai,Thriller,2015,4.5,15,1,167,0.79
USR_3481,MOV_5016,Oh My Kadavule,Romance,2020,4,11,1,104,0.49
USR_3299,MOV_5092,Jai Bhim,Drama,2021,4,10,0,70,0.47
USR_3910,MOV_5181,Indru Netru Naalai,Sci-Fi,2015,1,2,0,53,-0.43
USR_3864,MOV_5015,Doctor,Comedy,2021,5,18,1,189,1
USR_3888,MOV_5267,Time Loop 2,Sci-Fi,2026,4,11,1,118,0.68
USR_3624,MOV_5192,SivaKartikeyan Next,Comedy,2025,3.5,8,1,101,0.34
USR_3468,MOV_5013,Maanaadu,Sci-Fi,2021,5,18,1,168,0.76
USR_3166,MOV_5167,Maanaadu,Sci-Fi,2021,4,9,1,109,0.43
USR_3230,MOV_5058,Soorarai Pottru,Drama,2020,2,2,0,57,-0.14
USR_3633,MOV_5069,O Kadhal Kanmani,Romance,2015,4,6,1,99,0.47
USR_3399,MOV_5262,24,Sci-Fi,2016,4.5,14,1,156,0.82
USR_3353,MOV_5019,Fun Unlimited,Comedy,2026,1,0,0,37,-0.42
USR_3718,MOV_5166,Vettaiyan,Thriller,2024,2.5,0,0,48,-0.24
USR_4084,MOV_5034,Indru Netru Naalai,Sci-Fi,2015,4,8,1,69,0.63
USR_3366,MOV_5119,Mehandi Circus,Romance,2019,4.5,18,1,187,0.83
USR_4115,MOV_5228,Thani Oruvan,Action,2015,3.5,7,1,116,0.26
USR_3084,MOV_5170,Garudan,Drama,2024,5,17,1,165,0.96
USR_3550,MOV_5230,Vada Chennai,Action,2018,3.5,6,1,115,0.65
USR_3420,MOV_5022,Classic Love Story,Romance,2026,3,3,0,28,-0.04
USR_3198,MOV_5196,Naanum Rowdy Dhaan,Comedy,2015,4.5,22,1,194,0.81
USR_3348,MOV_5099,Ayalaan,Sci-Fi,2024,5,18,1,163,0.77
USR_3292,MOV_5225,Theri,Action,2016,5,12,1,175,0.83
USR_3530,MOV_5128,Vetri Maaran Next,Action,2026,4.5,13,1,156,0.86
USR_3022,MOV_5118,Tik Tik Tik,Sci-Fi,2018,4,9,1,116,0.47
USR_3217,MOV_5184,Mookuthi Amman,Comedy,2020,3.5,8,1,96,0.35
USR_3913,MOV_5276,Kadaisi Vivasayi,Drama,2022,3.5,6,1,69,0.42
USR_3713,MOV_5178,Indru Netru Naalai,Sci-Fi,2015,2,4,0,53,-0.32
USR_4173,MOV_5235,Project AI,Sci-Fi,2025,4,5,1,103,0.25
USR_3872,MOV_5010,Tik Tik Tik,Sci-Fi,2018,5,17,1,149,0.8
USR_3004,MOV_5175,Star,Romance,2024,3.5,7,1,129,0.31
USR_3046,MOV_5266,Hit List,Thriller,2024,3,4,0,38,-0.14
USR_3396,MOV_5109,Garudan,Drama,2024,5,20,1,169,0.85
USR_3174,MOV_5147,Ayalaan,Sci-Fi,2024,2.5,4,0,18,0.13
USR_3252,MOV_5163,Naanum Rowdy Dhaan,Comedy,2015,4,9,0,124,0.45
USR_4082,MOV_5265,Vedalam,Action,2015,4,5,0,74,0.65
USR_3413,MOV_5086,Project AI,Sci-Fi,2025,4,6,1,102,0.49
USR_3979,MOV_5121,Amaran,Action,2024,4,8,0,66,0.23
USR_3303,MOV_5045,Vettaiyan,Thriller,2024,4.5,17,1,174,0.8
USR_3369,MOV_5055,2,Sci-Fi,2018,5,14,1,174,0.71
USR_3656,MOV_5021,Asuran,Action,2019,4.5,13,1,147,0.93
USR_3444,MOV_5174,Time Loop 2,Sci-Fi,2026,3,3,0,40,-0.02
USR_3463,MOV_5076,Viduthalai Part 1,Thriller,2023,4,8,1,85,0.66
USR_3570,MOV_5099,Ayalaan,Sci-Fi,2024,2.5,2,0,27,0.07
USR_3035,MOV_5119,Mehandi Circus,Romance,2019,2.5,1,0,46,-0.07
USR_3661,MOV_5169,24,Sci-Fi,2016,5,21,1,180,0.99
USR_3350,MOV_5093,Theri,Action,2016,5,19,1,154,0.94
USR_3899,MOV_5287,Project AI,Sci-Fi,2025,5,18,1,135,0.94
USR_3218,MOV_5082,Vikram Vedha,Thriller,2017,4,11,0,72,0.47
USR_3793,MOV_5206,Indru Netru Naalai,Sci-Fi,2015,4,10,0,101,0.23
USR_3382,MOV_5069,O Kadhal Kanmani,Romance,2015,4,10,0,116,0.46
USR_3697,MOV_5194,Vada Chennai,Action,2018,2,1,0,65,-0.49
USR_3009,MOV_5265,Vedalam,Action,2015,5,21,1,151,0.8
USR_3619,MOV_5191,Imaikkaa Nodigal,Thriller,2018,5,16,1,132,0.72
USR_3492,MOV_5102,Joe,Romance,2023,5,18,1,167,0.9
USR_3232,MOV_5219,Kadhalum Kadandhu Pogum,Romance,2016,4.5,20,1,181,0.91
USR_3266,MOV_5284,Ratsasan,Thriller,2018,4,7,1,92,0.45
USR_3318,MOV_5222,Vikram Vedha,Thriller,2017,2,0,0,22,-0.38
USR_3361,MOV_5160,Garudan,Drama,2024,4.5,18,1,196,0.85
USR_3104,MOV_5186,Kottukaali,Drama,2024,4.5,20,1,179,0.95
USR_3143,MOV_5215,The investigative report,Thriller,2026,2,0,0,11,-0.44
USR_3917,MOV_5153,Maanaadu,Sci-Fi,2021,1,0,0,33,-0.47
USR_3193,MOV_5120,Game Over,Thriller,2019,5,22,1,192,0.93
USR_3851,MOV_5093,Theri,Action,2016,5,14,1,199,0.8
USR_3081,MOV_5096,Dhruva Natchathiram,Thriller,2025,4,8,1,102,0.22
USR_3964,MOV_5024,Jailer,Action,2023,4,11,1,73,0.43
USR_3969,MOV_5283,Tik Tik Tik,Sci-Fi,2018,4,11,1,77,0.53
USR_4161,MOV_5138,Kaaka Muttai,Drama,2015,4.5,21,1,171,0.92
USR_4101,MOV_5210,O Kadhal Kanmani,Romance,2015,5,21,1,160,0.94
USR_3239,MOV_5262,24,Sci-Fi,2016,2.5,1,0,64,0.1
USR_4004,MOV_5082,Vikram Vedha,Thriller,2017,3.5,10,0,66,0.55
USR_3742,MOV_5035,Ayalaan,Sci-Fi,2024,4,5,0,90,0.32
USR_3831,MOV_5220,Asuran,Action,2019,5,18,1,197,0.96
USR_3876,MOV_5192,SivaKartikeyan Next,Comedy,2025,5,16,1,197,0.72
USR_3363,MOV_5279,Doctor,Comedy,2021,4,10,1,103,0.37
USR_4171,MOV_5081,Fun Unlimited,Comedy,2026,3.5,5,1,109,0.4
USR_4159,MOV_5188,Kottukaali,Drama,2024,5,24,1,146,0.77
USR_3163,MOV_5117,Amaran,Action,2024,5,18,0,133,0.96
USR_3284,MOV_5220,Asuran,Action,2019,5,21,1,135,0.79
USR_3173,MOV_5201,Don,Comedy,2022,5,15,0,131,0.75
USR_3675,MOV_5264,Imaikkaa Nodigal,Thriller,2018,2,0,0,58,-0.49
USR_3964,MOV_5008,Kanguva 2,Action,2026,5,19,1,133,0.88
USR_3382,MOV_5021,Asuran,Action,2019,2,2,0,64,0.02
USR_3832,MOV_5163,Naanum Rowdy Dhaan,Comedy,2015,3.5,8,1,76,0.66
USR_3911,MOV_5095,Star,Romance,2024,5,20,1,155,0.92
USR_3779,MOV_5046,Soorarai Pottru,Drama,2020,5,12,1,141,0.91
USR_4189,MOV_5170,Garudan,Drama,2024,3.5,5,1,69,0.35
USR_3506,MOV_5108,Ratsasan,Thriller,2018,4,11,1,119,0.65
USR_3410,MOV_5112,Maanaadu,Sci-Fi,2021,4,10,1,117,0.48
USR_3246,MOV_5161,Good Night,Comedy,2023,5,19,1,162,0.82
USR_3097,MOV_5018,Lubber Pandhu,Drama,2024,2.5,4,0,27,-0.2
USR_4095,MOV_5168,Karnan,Drama,2021,1.5,2,0,31,-0.16
USR_3549,MOV_5102,Joe,Romance,2023,5,14,0,134,0.8
USR_3859,MOV_5120,Game Over,Thriller,2019,4.5,19,1,131,0.97
USR_3412,MOV_5158,Classic Love Story,Romance,2026,2.5,1,0,15,0.04
USR_3347,MOV_5190,Amaran,Action,2024,2.5,0,0,19,0.15
USR_3414,MOV_5238,Maanaadu,Sci-Fi,2021,2,3,1,27,-0.29
USR_3536,MOV_5187,Ponniyin Selvan: Part 1,Drama,2022,4,5,1,124,0.56
USR_3032,MOV_5099,Ayalaan,Sci-Fi,2024,5,18,1,159,0.94
USR_4039,MOV_5032,Dhruva Natchathiram,Thriller,2025,3.5,10,1,92,0.58
USR_3128,MOV_5132,Indru Netru Naalai,Sci-Fi,2015,4,5,0,79,0.34
USR_3657,MOV_5259,Joe,Romance,2023,4,10,1,93,0.31
USR_3523,MOV_5156,Kottukaali,Drama,2024,4.5,24,1,190,0.77
USR_3848,MOV_5058,Soorarai Pottru,Drama,2020,4,8,0,100,0.48
USR_3287,MOV_5102,Joe,Romance,2023,5,14,1,155,0.84
USR_3059,MOV_5247,The investigative report,Thriller,2026,5,21,1,156,0.84
USR_3496,MOV_5229,Kabali,Action,2016,5,17,1,138,0.89
USR_3361,MOV_5096,Dhruva Natchathiram,Thriller,2025,5,24,1,150,0.79
USR_3141,MOV_5223,Chitha,Thriller,2023,2.5,4,0,17,-0.26
USR_4003,MOV_5002,Hey Sinamika,Romance,2022,4,11,1,73,0.5
USR_3873,MOV_5182,Thug Life,Action,2025,1,3,0,26,-0.45
USR_3845,MOV_5017,Oh My Kadavule,Romance,2020,4,11,0,85,0.6
USR_3990,MOV_5226,Coolie,Action,2025,5,16,1,193,0.85
USR_3165,MOV_5054,Kottukaali,Drama,2024,5,22,1,137,0.8
USR_3530,MOV_5033,2,Sci-Fi,2018,4.5,16,1,159,0.93
USR_3246,MOV_5097,Sita Ramam (Tamil),Romance,2022,5,24,1,189,0.72
USR_3636,MOV_5180,Master,Action,2021,3.5,11,1,128,0.53
USR_3087,MOV_5059,Vikram,Action,2022,3.5,5,1,105,0.32
USR_3570,MOV_5042,Time Loop 2,Sci-Fi,2026,5,13,1,154,0.72
USR_3635,MOV_5040,Comali,Comedy,2019,4.5,14,1,158,0.81
USR_3524,MOV_5155,Fun Unlimited,Comedy,2026,3,1,0,45,0.17
USR_3031,MOV_5108,Ratsasan,Thriller,2018,3.5,11,0,121,0.55
USR_4084,MOV_5038,O Kadhal Kanmani,Romance,2015,5,18,1,182,0.77
USR_4063,MOV_5032,Dhruva Natchathiram,Thriller,2025,4,6,0,127,0.59
USR_4036,MOV_5281,Viduthalai Part 2,Thriller,2025,5,15,0,174,0.83
USR_4106,MOV_5037,96,Romance,2018,3.5,6,1,107,0.55
USR_4180,MOV_5221,Hey Sinamika,Romance,2022,1.5,1,0,20,-0.14
USR_3368,MOV_5102,Joe,Romance,2023,2.5,2,0,20,-0.43
USR_3511,MOV_5025,Kaithi,Action,2019,3.5,5,0,120,0.3
USR_3568,MOV_5276,Kadaisi Vivasayi,Drama,2022,2,1,0,18,-0.32
USR_3804,MOV_5192,SivaKartikeyan Next,Comedy,2025,4.5,22,1,161,0.76
USR_3425,MOV_5160,Garudan,Drama,2024,3,0,0,63,0.1
USR_3170,MOV_5267,Time Loop 2,Sci-Fi,2026,4,7,1,86,0.32
USR_3637,MOV_5056,Fun Unlimited,Comedy,2026,1.5,1,0,18,-0.39
USR_3054,MOV_5169,24,Sci-Fi,2016,5,19,1,184,0.72
USR_3375,MOV_5013,Maanaadu,Sci-Fi,2021,2.5,1,0,53,-0.14
USR_3582,MOV_5210,O Kadhal Kanmani,Romance,2015,4.5,17,1,153,0.77
USR_3556,MOV_5257,Joe,Romance,2023,5,20,1,180,0.83
USR_3339,MOV_5048,Amaran,Action,2024,3,3,0,17,-0.24
USR_3111,MOV_5102,Joe,Romance,2023,4,9,1,113,0.54
USR_3054,MOV_5104,Soorarai Pottru,Drama,2020,3.5,9,1,93,0.49
USR_3236,MOV_5173,Kaithi,Action,2019,4,6,1,66,0.58
USR_3604,MOV_5272,Meiyazhagan,Drama,2024,1.5,3,0,28,-0.07
USR_3293,MOV_5054,Kottukaali,Drama,2024,3.5,6,1,67,0.32
USR_3692,MOV_5081,Fun Unlimited,Comedy,2026,3.5,7,1,92,0.24
USR_3809,MOV_5088,Naanum Rowdy Dhaan,Comedy,2015,4.5,24,1,171,0.98
USR_3123,MOV_5025,Kaithi,Action,2019,4,9,1,94,0.5
USR_3312,MOV_5041,Thani Oruvan,Action,2015,3.5,7,1,75,0.3
USR_3221,MOV_5161,Good Night,Comedy,2023,5,16,1,133,0.99
USR_3799,MOV_5221,Hey Sinamika,Romance,2022,4.5,23,1,187,0.8
USR_3145,MOV_5068,Jai Bhim,Drama,2021,2,3,0,54,0.03
USR_3245,MOV_5042,Time Loop 2,Sci-Fi,2026,5,16,1,171,0.75
USR_3702,MOV_5049,Asuran,Action,2019,2.5,1,0,48,-0.09
USR_3288,MOV_5179,SivaKartikeyan Next,Comedy,2025,2.5,4,0,23,0.14
USR_3193,MOV_5238,Maanaadu,Sci-Fi,2021,4,7,1,70,0.38
USR_3811,MOV_5174,Time Loop 2,Sci-Fi,2026,4,10,0,68,0.27
USR_3505,MOV_5154,Siren,Romance,2024,3.5,9,1,87,0.63
USR_4143,MOV_5193,Kaaka Muttai,Drama,2015,2.5,2,0,30,-0.28
USR_3221,MOV_5267,Time Loop 2,Sci-Fi,2026,4,5,0,74,0.38
USR_4086,MOV_5191,Imaikkaa Nodigal,Thriller,2018,5,17,1,160,0.8
USR_4047,MOV_5138,Kaaka Muttai,Drama,2015,4,5,0,105,0.45
USR_3841,MOV_5117,Amaran,Action,2024,5,12,1,157,0.77
USR_3783,MOV_5054,Kottukaali,Drama,2024,5,17,1,171,0.83
USR_3499,MOV_5102,Joe,Romance,2023,3.5,11,1,76,0.58
USR_3246,MOV_5069,O Kadhal Kanmani,Romance,2015,4,5,1,122,0.5
USR_3417,MOV_5035,Ayalaan,Sci-Fi,2024,3.5,9,1,97,0.66
USR_3041,MOV_5007,Viduthalai Part 1,Thriller,2023,5,14,1,183,0.88
USR_3874,MOV_5051,Tik Tik Tik,Sci-Fi,2018,1.5,2,0,36,-0.14
USR_3342,MOV_5184,Mookuthi Amman,Comedy,2020,3.5,6,1,114,0.38
USR_3791,MOV_5211,Indru Netru Naalai,Sci-Fi,2015,5,14,1,135,0.82
USR_3785,MOV_5024,Jailer,Action,2023,1,4,0,34,0.06
USR_3018,MOV_5022,Classic Love Story,Romance,2026,4,10,1,105,0.38
USR_3285,MOV_5165,Amaran,Action,2024,4,5,1,123,0.24
USR_3830,MOV_5206,Indru Netru Naalai,Sci-Fi,2015,4,11,1,81,0.53
USR_3139,MOV_5203,Lubber Pandhu,Drama,2024,2.5,0,0,45,0
USR_3659,MOV_5017,Oh My Kadavule,Romance,2020,4,10,1,108,0.44
USR_3636,MOV_5127,Vada Chennai,Action,2018,4.5,18,1,148,0.77
USR_3911,MOV_5004,Amaran,Action,2024,2.5,1,0,11,-0.04
USR_3641,MOV_5024,Jailer,Action,2023,4,9,1,118,0.52
USR_3153,MOV_5024,Jailer,Action,2023,4.5,12,1,178,0.73
USR_3215,MOV_5235,Project AI,Sci-Fi,2025,2,3,0,51,-0.38
USR_3387,MOV_5047,Meiyazhagan,Drama,2024,4.5,16,1,145,0.74
USR_3079,MOV_5209,LKG,Comedy,2019,2.5,1,0,37,-0.12
USR_3445,MOV_5209,LKG,Comedy,2019,4,7,0,111,0.57
USR_4112,MOV_5176,LKG,Comedy,2019,4.5,17,1,165,0.88
USR_3945,MOV_5025,Kaithi,Action,2019,5,19,1,163,0.73
USR_3892,MOV_5267,Time Loop 2,Sci-Fi,2026,5,24,1,178,0.84
USR_3679,MOV_5279,Doctor,Comedy,2021,3.5,10,1,129,0.3
USR_3293,MOV_5211,Indru Netru Naalai,Sci-Fi,2015,5,18,1,189,0.95
USR_3188,MOV_5017,Oh My Kadavule,Romance,2020,2.5,4,0,55,-0.47
USR_3018,MOV_5113,Oh My Kadavule,Romance,2020,5,12,1,175,0.75
USR_3822,MOV_5112,Maanaadu,Sci-Fi,2021,5,22,1,168,0.96
USR_3481,MOV_5052,Chitha,Thriller,2023,3,4,0,54,-0.09
USR_3824,MOV_5047,Meiyazhagan,Drama,2024,3.5,11,0,123,0.28
USR_3283,MOV_5237,Hit List,Thriller,2024,3,2,0,57,-0.36
USR_3848,MOV_5192,SivaKartikeyan Next,Comedy,2025,3.5,5,0,66,0.31
USR_4192,MOV_5041,Thani Oruvan,Action,2015,3.5,7,1,85,0.54
USR_3438,MOV_5080,Thug Life,Action,2025,2.5,1,1,52,-0.2
USR_3356,MOV_5033,2,Sci-Fi,2018,4,6,0,121,0.53
USR_3846,MOV_5138,Kaaka Muttai,Drama,2015,4,10,1,87,0.31
USR_3446,MOV_5173,Kaithi,Action,2019,4.5,19,1,185,0.95
